"Injured Player"
"15 F1 Topspins and 15 B1 Topspins "
929Injured_player.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
,TOPSPIN,F2,4.0,GROUND,SAME,,,,
,TOPSPIN,B2,4.0,GROUND,SAME,,,,
