"2-line Mini-tennis: Volleys"
"Start at service line. Each line hits 6 volleys then circles outside court and gets in other line. "
269HERE.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,B5,1.0,NOT_SCORED,SAME,,31,27.5,0
,CUSTOM,F5,1.0,NOT_SCORED,SAME,,31,27.5,0
