"1-line 11 BH across"
"Start in Deuce court alley and hit 11 backhands across the court.  Balls get easier as you go.  Next player starts after first player hits 6 balls. "

,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORE_METHOD,LEVEL,COMMENT,SPEED,ELEVATION,SPIN
,CUSTOM,F13,1.5,NOT_SCORED,SAME,,40,28.0,0
,CUSTOM,B2,1.5,NOT_SCORED,SAME,,40,22.0,0
,CUSTOM,F8,1.5,NOT_SCORED,SAME,,40,27.0,0
,CUSTOM,B4,1.5,NOT_SCORED,SAME,,40,21.0,0
,CUSTOM,F6,1.5,NOT_SCORED,SAME,,40,26.0,0
,CUSTOM,B6,1.5,NOT_SCORED,SAME,,40,20.0,0
,CUSTOM,F4,1.5,NOT_SCORED,SAME,,40,25.0,0
,CUSTOM,B8,1.5,NOT_SCORED,SAME,,40,19.0,0
,CUSTOM,F2,1.5,NOT_SCORED,SAME,,40,24.0,0
,CUSTOM,B13,1.5,NOT_SCORED,SAME,,40,18.0,0
,CUSTOM,CENTER,1.5,NOT_SCORED,SAME,,40,23.0,0
,CUSTOM,F13,1.5,NOT_SCORED,SAME,,40,28.0,0
,CUSTOM,B2,1.5,NOT_SCORED,SAME,,40,22.0,0
,CUSTOM,F8,1.5,NOT_SCORED,SAME,,40,27.0,0
,CUSTOM,B4,1.5,NOT_SCORED,SAME,,40,21.0,0
,CUSTOM,F6,1.5,NOT_SCORED,SAME,,40,26.0,0
,CUSTOM,B6,1.5,NOT_SCORED,SAME,,40,20.0,0
,CUSTOM,F4,1.5,NOT_SCORED,SAME,,40,25.0,0
,CUSTOM,B8,1.5,NOT_SCORED,SAME,,40,19.0,0
,CUSTOM,F2,1.5,NOT_SCORED,SAME,,40,24.0,0
,CUSTOM,B13,1.3,NOT_SCORED,SAME,,40,18.0,0
,CUSTOM,CENTER,1.0,NOT_SCORED,SAME,,40,23.0,0
